w,h,i,hex_value,setPk,naysayerHT,naysayerLtree,naysayerWots
16,18,100,fffffffffffffffffffffffff000000000000000000000000000000000000000,67043,594576,1551177,636822
16,18,101,fffffffffffffffffffffffff800000000000000000000000000000000000000,67043,594576,1551177,636822
16,18,102,fffffffffffffffffffffffffc00000000000000000000000000000000000000,67043,594576,1551177,636822
16,18,103,fffffffffffffffffffffffffe00000000000000000000000000000000000000,67043,594576,1551177,636822
16,18,104,ffffffffffffffffffffffffff00000000000000000000000000000000000000,67043,594576,1551177,636822
16,18,105,ffffffffffffffffffffffffff80000000000000000000000000000000000000,67043,594576,1551177,636822
16,18,106,ffffffffffffffffffffffffffc0000000000000000000000000000000000000,67043,594576,1551177,636822
16,18,107,ffffffffffffffffffffffffffe0000000000000000000000000000000000000,67043,594576,1551177,636822
16,18,108,fffffffffffffffffffffffffff0000000000000000000000000000000000000,67043,594564,1551165,636798
16,18,109,fffffffffffffffffffffffffff8000000000000000000000000000000000000,67043,594576,1551177,636822
16,18,110,fffffffffffffffffffffffffffc000000000000000000000000000000000000,67043,594576,1551177,636822
16,18,111,fffffffffffffffffffffffffffe000000000000000000000000000000000000,67043,594576,1551177,636822
16,18,112,ffffffffffffffffffffffffffff000000000000000000000000000000000000,67043,594552,1551165,636822
16,18,113,ffffffffffffffffffffffffffff800000000000000000000000000000000000,67043,594576,1551177,636822
16,18,114,ffffffffffffffffffffffffffffc00000000000000000000000000000000000,67043,594576,1551177,636822
16,18,115,ffffffffffffffffffffffffffffe00000000000000000000000000000000000,67043,594528,1551153,636822
16,18,116,fffffffffffffffffffffffffffff00000000000000000000000000000000000,67043,594552,1551165,636822
16,18,117,fffffffffffffffffffffffffffff80000000000000000000000000000000000,67043,594576,1551177,636822
16,18,118,fffffffffffffffffffffffffffffc0000000000000000000000000000000000,67043,594552,1551165,636810
16,18,119,fffffffffffffffffffffffffffffe0000000000000000000000000000000000,67043,594576,1551177,636822
16,18,120,ffffffffffffffffffffffffffffff0000000000000000000000000000000000,67043,594576,1551177,636822
16,18,121,ffffffffffffffffffffffffffffff8000000000000000000000000000000000,67043,594576,1551177,636810
16,18,122,ffffffffffffffffffffffffffffffc000000000000000000000000000000000,67043,594576,1551177,636822
16,18,123,ffffffffffffffffffffffffffffffe000000000000000000000000000000000,67043,594576,1551177,636822
16,18,124,fffffffffffffffffffffffffffffff000000000000000000000000000000000,67043,594576,1551177,636822
16,18,125,fffffffffffffffffffffffffffffff800000000000000000000000000000000,67043,594576,1551177,636822
16,18,126,fffffffffffffffffffffffffffffffc00000000000000000000000000000000,67043,594576,1551177,636822
16,18,127,fffffffffffffffffffffffffffffffe00000000000000000000000000000000,67043,594564,1551165,636810
16,18,128,ffffffffffffffffffffffffffffffff00000000000000000000000000000000,67043,594576,1551177,636822
16,18,129,ffffffffffffffffffffffffffffffff80000000000000000000000000000000,67043,594576,1551177,636822
16,18,130,ffffffffffffffffffffffffffffffffc0000000000000000000000000000000,67043,594576,1551177,636822
16,18,131,ffffffffffffffffffffffffffffffffe0000000000000000000000000000000,67043,594564,1551165,636810
16,18,132,fffffffffffffffffffffffffffffffff0000000000000000000000000000000,67043,594576,1551177,636822
16,18,133,fffffffffffffffffffffffffffffffff8000000000000000000000000000000,67043,594576,1551177,636822
16,18,134,fffffffffffffffffffffffffffffffffc000000000000000000000000000000,67043,594564,1551165,636810
16,18,135,fffffffffffffffffffffffffffffffffe000000000000000000000000000000,67043,594552,1551165,636822
16,18,136,ffffffffffffffffffffffffffffffffff000000000000000000000000000000,67043,594576,1551177,636810
16,18,137,ffffffffffffffffffffffffffffffffff800000000000000000000000000000,67043,594576,1551177,636822
16,18,138,ffffffffffffffffffffffffffffffffffc00000000000000000000000000000,67043,594576,1551177,636822
16,18,139,ffffffffffffffffffffffffffffffffffe00000000000000000000000000000,67043,594576,1551177,636822
16,18,140,fffffffffffffffffffffffffffffffffff00000000000000000000000000000,67043,594564,1551165,636810
16,18,141,fffffffffffffffffffffffffffffffffff80000000000000000000000000000,67043,594576,1551177,636822
16,18,142,fffffffffffffffffffffffffffffffffffc0000000000000000000000000000,67043,594576,1551177,636822
16,18,143,fffffffffffffffffffffffffffffffffffe0000000000000000000000000000,67043,594576,1551177,636822
16,18,144,ffffffffffffffffffffffffffffffffffff0000000000000000000000000000,67043,594576,1551177,636822
16,18,145,ffffffffffffffffffffffffffffffffffff8000000000000000000000000000,67043,594576,1551177,636822
16,18,146,ffffffffffffffffffffffffffffffffffffc000000000000000000000000000,67043,594552,1551165,636822
16,18,147,ffffffffffffffffffffffffffffffffffffe000000000000000000000000000,67043,594576,1551177,636822
16,18,148,fffffffffffffffffffffffffffffffffffff000000000000000000000000000,67043,594576,1551177,636822
16,18,149,fffffffffffffffffffffffffffffffffffff800000000000000000000000000,67043,594576,1551177,636822
16,18,150,fffffffffffffffffffffffffffffffffffffc00000000000000000000000000,67043,594576,1551177,636822
16,18,151,fffffffffffffffffffffffffffffffffffffe00000000000000000000000000,67043,594576,1551177,636810
16,18,152,ffffffffffffffffffffffffffffffffffffff00000000000000000000000000,67043,594576,1551177,636822
16,18,153,ffffffffffffffffffffffffffffffffffffff80000000000000000000000000,67043,594552,1551165,636810
16,18,154,ffffffffffffffffffffffffffffffffffffffc0000000000000000000000000,67043,594576,1551177,636810
16,18,155,ffffffffffffffffffffffffffffffffffffffe0000000000000000000000000,67043,594564,1551165,636810
16,18,156,fffffffffffffffffffffffffffffffffffffff0000000000000000000000000,67043,594576,1551177,636822
