w,h,i,hex_value,setPk,naysayerHT,naysayerLtree,naysayerWots
4,4,100,fffffffffffffffffffffffff000000000000000000000000000000000000000,67043,596138,2541580,716795
4,4,101,fffffffffffffffffffffffff800000000000000000000000000000000000000,67043,596138,2541580,716795
4,4,102,fffffffffffffffffffffffffc00000000000000000000000000000000000000,67043,596138,2541580,716795
4,4,103,fffffffffffffffffffffffffe00000000000000000000000000000000000000,67043,596138,2541580,716795
4,4,104,ffffffffffffffffffffffffff00000000000000000000000000000000000000,67043,596138,2541580,716795
4,4,105,ffffffffffffffffffffffffff80000000000000000000000000000000000000,67043,596138,2541580,716795
4,4,106,ffffffffffffffffffffffffffc0000000000000000000000000000000000000,67043,596138,2541580,716795
4,4,107,ffffffffffffffffffffffffffe0000000000000000000000000000000000000,67043,596138,2541580,716795
4,4,108,fffffffffffffffffffffffffff0000000000000000000000000000000000000,67043,596138,2541580,716795
4,4,109,fffffffffffffffffffffffffff8000000000000000000000000000000000000,67043,596114,2541568,716795
4,4,110,fffffffffffffffffffffffffffc000000000000000000000000000000000000,67043,596138,2541580,716795
4,4,111,fffffffffffffffffffffffffffe000000000000000000000000000000000000,67043,596138,2541580,716795
4,4,112,ffffffffffffffffffffffffffff000000000000000000000000000000000000,67043,596138,2541580,716795
4,4,113,ffffffffffffffffffffffffffff800000000000000000000000000000000000,67043,596114,2541568,716795
4,4,114,ffffffffffffffffffffffffffffc00000000000000000000000000000000000,67043,596138,2541580,716795
4,4,115,ffffffffffffffffffffffffffffe00000000000000000000000000000000000,67043,596138,2541580,716795
4,4,116,fffffffffffffffffffffffffffff00000000000000000000000000000000000,67043,596138,2541580,716795
4,4,117,fffffffffffffffffffffffffffff80000000000000000000000000000000000,67043,596114,2541568,716795
4,4,118,fffffffffffffffffffffffffffffc0000000000000000000000000000000000,67043,596138,2541580,716795
4,4,119,fffffffffffffffffffffffffffffe0000000000000000000000000000000000,67043,596138,2541580,716795
4,4,120,ffffffffffffffffffffffffffffff0000000000000000000000000000000000,67043,596126,2541568,716783
4,4,121,ffffffffffffffffffffffffffffff8000000000000000000000000000000000,67043,596114,2541568,716795
4,4,122,ffffffffffffffffffffffffffffffc000000000000000000000000000000000,67043,596138,2541580,716795
4,4,123,ffffffffffffffffffffffffffffffe000000000000000000000000000000000,67043,596138,2541580,716795
4,4,124,fffffffffffffffffffffffffffffff000000000000000000000000000000000,67043,596138,2541580,716795
4,4,125,fffffffffffffffffffffffffffffff800000000000000000000000000000000,67043,596138,2541580,716795
4,4,126,fffffffffffffffffffffffffffffffc00000000000000000000000000000000,67043,596138,2541580,716783
4,4,127,fffffffffffffffffffffffffffffffe00000000000000000000000000000000,67043,596138,2541580,716795
4,4,128,ffffffffffffffffffffffffffffffff00000000000000000000000000000000,67043,596138,2541580,716795
4,4,129,ffffffffffffffffffffffffffffffff80000000000000000000000000000000,67043,596138,2541580,716783
4,4,130,ffffffffffffffffffffffffffffffffc0000000000000000000000000000000,67043,596138,2541580,716795
4,4,131,ffffffffffffffffffffffffffffffffe0000000000000000000000000000000,67043,596138,2541580,716795
4,4,132,fffffffffffffffffffffffffffffffff0000000000000000000000000000000,67043,596138,2541580,716795
4,4,133,fffffffffffffffffffffffffffffffff8000000000000000000000000000000,67043,596138,2541580,716795
4,4,134,fffffffffffffffffffffffffffffffffc000000000000000000000000000000,67043,596138,2541580,716795
4,4,135,fffffffffffffffffffffffffffffffffe000000000000000000000000000000,67043,596138,2541580,716795
4,4,136,ffffffffffffffffffffffffffffffffff000000000000000000000000000000,67043,596138,2541580,716795
4,4,137,ffffffffffffffffffffffffffffffffff800000000000000000000000000000,67043,596114,2541568,716795
4,4,138,ffffffffffffffffffffffffffffffffffc00000000000000000000000000000,67043,596138,2541580,716795
4,4,139,ffffffffffffffffffffffffffffffffffe00000000000000000000000000000,67043,596138,2541580,716795
4,4,140,fffffffffffffffffffffffffffffffffff00000000000000000000000000000,67043,596138,2541580,716795
4,4,141,fffffffffffffffffffffffffffffffffff80000000000000000000000000000,67043,596138,2541580,716795
4,4,142,fffffffffffffffffffffffffffffffffffc0000000000000000000000000000,67043,596114,2541568,716795
4,4,143,fffffffffffffffffffffffffffffffffffe0000000000000000000000000000,67043,596138,2541580,716795
4,4,144,ffffffffffffffffffffffffffffffffffff0000000000000000000000000000,67043,596138,2541580,716795
4,4,145,ffffffffffffffffffffffffffffffffffff8000000000000000000000000000,67043,596138,2541580,716795
4,4,146,ffffffffffffffffffffffffffffffffffffc000000000000000000000000000,67043,596138,2541580,716795
4,4,147,ffffffffffffffffffffffffffffffffffffe000000000000000000000000000,67043,596138,2541580,716795
4,4,148,fffffffffffffffffffffffffffffffffffff000000000000000000000000000,67043,596138,2541580,716795
4,4,149,fffffffffffffffffffffffffffffffffffff800000000000000000000000000,67043,596138,2541580,716783
4,4,150,fffffffffffffffffffffffffffffffffffffc00000000000000000000000000,67043,596102,2541556,716771
4,4,151,fffffffffffffffffffffffffffffffffffffe00000000000000000000000000,67043,596126,2541568,716783
4,4,152,ffffffffffffffffffffffffffffffffffffff00000000000000000000000000,67043,596138,2541580,716795
4,4,153,ffffffffffffffffffffffffffffffffffffff80000000000000000000000000,67043,596138,2541580,716795
4,4,154,ffffffffffffffffffffffffffffffffffffffc0000000000000000000000000,67043,596126,2541568,716783
4,4,155,ffffffffffffffffffffffffffffffffffffffe0000000000000000000000000,67043,596138,2541580,716795
4,4,156,fffffffffffffffffffffffffffffffffffffff0000000000000000000000000,67043,596138,2541580,716795
